alpha1,alpha3,time,model_stock,model_effort,real_stock,real_effort
-0.003,0.0,20,0.03611525637460962,0.047947574132957346,0.03175296343224757,0.04047125673083545
-0.003,0.0,21,0.04023698218024542,0.05339350295158672,0.036493846558845626,0.04982503812886209
-0.003,0.0,22,0.04484993110136735,0.05957633487641096,0.0397829161469858,0.05783672526985862
-0.003,0.0,23,0.0498905036423792,0.06598673538781558,0.0451193176028545,0.06457259233733582
-0.003,0.0,24,0.05563373773269901,0.07397295623270536,0.05000662439262597,0.07386739767118075
-0.003,0.0,25,0.061920609290773754,0.08200095938227232,0.055842910580694044,0.07009395755647525
-0.003,0.0,26,0.0683246653770253,0.08879611458929598,0.05955152251330182,0.07558314835568365
-0.003,0.0,27,0.07479271630658302,0.09548707277506195,0.06614221137394524,0.09538653648673306
-0.003,0.0,28,0.08196277112386935,0.10490264479700127,0.07429561491603079,0.10345099524745932
-0.003,0.0,29,0.09002607519799673,0.11581994863484393,0.07982548432653046,0.11143998274544732
-0.003,0.0,30,0.09984570280040539,0.13123227199854698,0.08464408120857476,0.11380758474033985
-0.003,0.01,1,0.00047115380253399,0.015126928128336783,-0.0016119475556586923,1.9444019386073857e-5
-0.003,0.01,2,0.004147871960047577,0.015781920281530564,-0.002159836382695989,-0.003628047446808362
-0.003,0.01,3,0.007073548196163148,0.016339338624935206,-0.003802357045879357,-0.009781149117063138
-0.003,0.01,4,0.00939985338310131,0.01677502723016575,-0.0029279791053400616,0.0007957307527190494
-0.003,0.01,5,0.01122762874364664,0.017029857560413107,-0.0002776824049067208,0.008904643438812497
-0.003,0.01,6,0.012683416388302554,0.01731224675245836,-0.0009811304996678331,-0.0018127599892611567
-0.003,0.01,7,0.013868260461477596,0.017642818794073624,-0.0008042557437489253,-9.122812402837229e-5
-0.003,0.01,8,0.014864773756342611,0.018046076662866332,0.0001255306201194985,0.003686639722311078
-0.003,0.01,9,0.0157429352205007,0.01855220965750432,-0.0017639264112091874,-0.00762689110394796
-0.003,0.01,10,0.01656502531798128,0.019199314356575757,-0.00034929899827838146,0.006066943704524169
-0.003,0.01,11,0.017390044991039907,0.02003619140435188,0.000779977788634285,0.005894351184784294
-0.003,0.01,12,0.018277961124217378,0.021126054401450763,0.003974346345024528,0.014782916764164999
