alpha1,delta,time,model_stock,model_effort,real_stock,real_effort
0.0,0.5,22,0.028018790177910844,0.03292192865743773,0.040347187886999814,0.05769531935054441
0.0,0.5,23,0.03321254403270673,0.0384505475587028,0.045361047758216984,0.06459730045776037
0.0,0.5,24,0.04035150209062915,0.04754346597720403,0.050826380522516354,0.07395444440404267
0.0,0.5,25,0.04878449495839742,0.05728086898642902,0.05665066867979285,0.07019033842802969
0.0,0.5,26,0.05635404782075827,0.06399633313970468,0.060457736973860324,0.07555623429454736
0.0,0.5,27,0.06273366272160308,0.06919392677391381,0.06714229340841847,0.09553719961518657
0.0,0.5,28,0.07149961029937785,0.08035712400160432,0.07483333443617289,0.10347070667938538
0.0,0.5,29,0.08392243177007778,0.09645238519518988,0.08037516058417016,0.1114691548235635
0.0,0.5,30,0.10740248212299756,0.13101936358116129,0.08508802352676809,0.11396370432948526
0.0,0.5,31,0.11899314687057427,0.1307355304309798,0.09123193580627689,0.1290830827750107
0.0,0.5,32,0.12471495863631091,0.1305959012831454,0.09476553775037919,0.1412570465447185
0.0,0.5,33,0.12753961657664908,0.13052708069044522,0.09228364909062907,0.1193512261818309
0.0,0.5,34,0.12893405909900962,0.13049312623686132,0.09182721132253066,0.11299083983141193
0.0,0.5,35,0.12962246228361282,0.1304763888126562,0.1051051235096314,0.13890670062927293
0.0,0.5,36,0.1299622979612803,0.13046810089394048,0.1087317936416707,0.13468309326821862
0.0,0.5,37,0.13013007237017868,0.13046403325130584,0.11642988731247218,0.14072512723881314
0.0,0.5,38,0.13021289309379536,0.13046200851898945,0.11516699098778974,0.11496396449484836
0.0,0.5,39,0.13025378381684335,0.13046102268025628,0.11465773624003987,0.12139671427935732
0.0,0.5,40,0.13027396238388322,0.1304605154645173,0.11272296894931794,0.11278313806108277
0.0,0.5,41,0.13028392607897832,0.13046027730941664,0.09924037419565665,0.11273582681209773
0.0,0.5,42,0.1302888517058902,0.13046017130483695,0.0859050096961252,0.10066584975621005
0.0,0.5,43,0.13029128030124598,0.13046010604205138,0.09709849362536646,0.12505421326364685
0.0,0.5,44,0.13029247156968984,0.1304600615413042,0.09428659462510815,0.12975129622529083
0.0,0.5,45,0.130293043192249,0.13046001426473666,0.10010884968265943,0.13098197798692954
0.0,0.5,46,0.13029328171067678,0.13045991999118314,0.09594436755856837,0.12273188737133137
0.0,0.5,47,0.13029333150276468,0.13045978112170076,0.11205887251141156,0.10946933506001344
0.0,0.5,48,0.13029316235733257,0.13045939281748817,0.11455151736397472,0.12349621869958492
0.0,0.5,49,0.13029263780387534,0.1304585121719666,0.10950095173709795,0.11161976058475545
0.0,0.5,50,0.13029136478573733,0.13045648903291948,0.11593832621014866,0.12295338565712906
0.0,0.5,51,0.13028837624943546,0.1304517811178374,0.10976976823293685,0.10329371935042267
0.0,0.5,52,0.13029136305946543,0.13046074702604285,0.13189208820993048,0.1371320883313586
